cpu-bind=MASK - c175, task  0  0 [1304349]: mask 0x7ffefffefffe set
 running  264 mpi-ranks, with    1 threads/rank, on    6 nodes
 distrk:  each k-point on   44 cores,    6 groups
 distr:  one band on    4 cores,   11 groups
 vasp.6.5.1 10Mar25 (build Aug 29 2025 00:30:47) complex                        
  
 POSCAR found type information on POSCAR MoS GaN 
 POSCAR found :  4 types and      45 ions
 scaLAPACK will be used
 LDA part: xc-table for (Slater+PW92), standard interpolation
 POSCAR, INCAR and KPOINTS ok, starting setup
 FFT: planning ... GRIDC
 FFT: planning ... GRID_SOFT
 FFT: planning ... GRID
 WAVECAR not read
 entering main loop
       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1     0.253380991089E+04    0.25338E+04   -0.14951E+05  5720   0.137E+03
DAV:   2    -0.530987401489E+02   -0.25869E+04   -0.25075E+04  6171   0.310E+02
DAV:   3    -0.327919357884E+03   -0.27482E+03   -0.27183E+03  5940   0.961E+01
DAV:   4    -0.339053942058E+03   -0.11135E+02   -0.11074E+02  6567   0.192E+01
DAV:   5    -0.339347498560E+03   -0.29356E+00   -0.29235E+00  6468   0.294E+00    0.768E+01
DAV:   6    -0.301687052219E+03    0.37660E+02   -0.23497E+02  5929   0.292E+01    0.305E+01
DAV:   7    -0.300496555868E+03    0.11905E+01   -0.52990E+01  5588   0.149E+01    0.185E+01
DAV:   8    -0.298467513989E+03    0.20290E+01   -0.73366E+00  5797   0.675E+00    0.737E+00
DAV:   9    -0.298355610529E+03    0.11190E+00   -0.99949E-01  6105   0.203E+00    0.307E+00
DAV:  10    -0.298274232152E+03    0.81378E-01   -0.22903E-01  6050   0.120E+00    0.120E+00
DAV:  11    -0.298242252909E+03    0.31979E-01   -0.46922E-02  6435   0.423E-01    0.486E-01
DAV:  12    -0.298228912344E+03    0.13341E-01   -0.10796E-02  5775   0.381E-01    0.341E-01
DAV:  13    -0.298221234090E+03    0.76783E-02   -0.61182E-03  5753   0.319E-01    0.243E-01
DAV:  14    -0.298207975503E+03    0.13259E-01   -0.95969E-03  5511   0.245E-01    0.188E-01
DAV:  15    -0.298204678740E+03    0.32968E-02   -0.37118E-03  6226   0.186E-01    0.194E-01
DAV:  16    -0.298202727034E+03    0.19517E-02   -0.25204E-03  5885   0.175E-01    0.124E-01
DAV:  17    -0.298201222827E+03    0.15042E-02   -0.34156E-03  5632   0.122E-01    0.760E-02
DAV:  18    -0.298202678601E+03   -0.14558E-02   -0.31665E-03  5742   0.978E-02    0.123E-01
DAV:  19    -0.298204517945E+03   -0.18393E-02   -0.21405E-03  5885   0.870E-02    0.622E-02
DAV:  20    -0.298205011582E+03   -0.49364E-03   -0.54626E-04  6138   0.667E-02    0.414E-02
DAV:  21    -0.298205113885E+03   -0.10230E-03   -0.11623E-04  6435   0.357E-02    0.262E-02
DAV:  22    -0.298205221050E+03   -0.10716E-03   -0.23476E-05  5357   0.116E-02    0.162E-02
DAV:  23    -0.298205410261E+03   -0.18921E-03   -0.55561E-05  5445   0.173E-02    0.119E-02
DAV:  24    -0.298205471396E+03   -0.61135E-04   -0.13085E-05  5269   0.131E-02    0.997E-03
DAV:  25    -0.298205542794E+03   -0.71398E-04   -0.85034E-06  4686   0.729E-03    0.875E-03
DAV:  26    -0.298205740679E+03   -0.19788E-03   -0.99436E-05  4917   0.927E-03    0.616E-03
DAV:  27    -0.298205672383E+03    0.68296E-04   -0.46336E-05  4741   0.681E-03    0.841E-03
DAV:  28    -0.298205644833E+03    0.27549E-04   -0.20113E-05  5225   0.672E-03    0.927E-03
DAV:  29    -0.298205658478E+03   -0.13645E-04   -0.39981E-06  4455   0.545E-03    0.530E-03
DAV:  30    -0.298205687237E+03   -0.28759E-04   -0.35200E-06  4675   0.484E-03    0.304E-03
DAV:  31    -0.298205701566E+03   -0.14330E-04   -0.10539E-06  3916   0.189E-03    0.222E-03
DAV:  32    -0.298205710060E+03   -0.84939E-05   -0.69298E-07  3872   0.112E-03    0.113E-03
DAV:  33    -0.298205712228E+03   -0.21678E-05   -0.56339E-07  3850   0.862E-04    0.695E-04
DAV:  34    -0.298205712594E+03   -0.36557E-06   -0.13294E-07  3245   0.661E-04
   1 F= -.30855581E+03 E0= -.30855581E+03  d E =-.607184E-28
