cpu-bind=MASK - c028, task  0  0 [2510028]: mask 0xfffffffffff0 set
 running  264 mpi-ranks, with    1 threads/rank, on    6 nodes
 distrk:  each k-point on   44 cores,    6 groups
 distr:  one band on    4 cores,   11 groups
 vasp.6.5.1 10Mar25 (build Aug 29 2025 00:30:47) complex                        
  
 POSCAR found type information on POSCAR W SeGaN 
 POSCAR found :  4 types and      45 ions
 scaLAPACK will be used
 LDA part: xc-table for (Slater+PW92), standard interpolation
 POSCAR, INCAR and KPOINTS ok, starting setup
 FFT: planning ... GRIDC
 FFT: planning ... GRID_SOFT
 FFT: planning ... GRID
 WAVECAR not read
 entering main loop
       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1     0.271702759920E+04    0.27170E+04   -0.14806E+05  5687   0.138E+03
DAV:   2    -0.271982581289E+02   -0.27442E+04   -0.26573E+04  5951   0.323E+02
DAV:   3    -0.318379202478E+03   -0.29118E+03   -0.28755E+03  6105   0.102E+02
DAV:   4    -0.330308086239E+03   -0.11929E+02   -0.11831E+02  6303   0.210E+01
DAV:   5    -0.330709106102E+03   -0.40102E+00   -0.39958E+00  6578   0.352E+00    0.700E+01
DAV:   6    -0.297229947215E+03    0.33479E+02   -0.17713E+02  6138   0.262E+01    0.261E+01
DAV:   7    -0.297263912161E+03   -0.33965E-01   -0.40362E+01  5973   0.106E+01    0.139E+01
DAV:   8    -0.296185410722E+03    0.10785E+01   -0.66945E+00  6116   0.593E+00    0.413E+00
DAV:   9    -0.296069207121E+03    0.11620E+00   -0.54005E-01  6028   0.158E+00    0.146E+00
DAV:  10    -0.296030728870E+03    0.38478E-01   -0.19900E-01  6226   0.888E-01    0.839E-01
DAV:  11    -0.296000602936E+03    0.30126E-01   -0.26274E-02  5962   0.500E-01    0.304E-01
DAV:  12    -0.295985136756E+03    0.15466E-01   -0.10712E-02  6171   0.392E-01    0.215E-01
DAV:  13    -0.295973990219E+03    0.11147E-01   -0.56215E-03  6270   0.300E-01    0.165E-01
DAV:  14    -0.295952039865E+03    0.21950E-01   -0.14701E-02  5753   0.318E-01    0.190E-01
DAV:  15    -0.295944442050E+03    0.75978E-02   -0.98951E-03  6127   0.252E-01    0.146E-01
DAV:  16    -0.295942612632E+03    0.18294E-02   -0.40194E-03  5687   0.196E-01    0.123E-01
DAV:  17    -0.295946557034E+03   -0.39444E-02   -0.16278E-03  5742   0.119E-01    0.109E-01
DAV:  18    -0.295951324893E+03   -0.47679E-02   -0.80612E-04  6028   0.697E-02    0.688E-02
DAV:  19    -0.295961238404E+03   -0.99135E-02   -0.29514E-03  6105   0.113E-01    0.627E-02
DAV:  20    -0.295962554017E+03   -0.13156E-02   -0.76142E-04  6138   0.528E-02    0.530E-02
DAV:  21    -0.295962907670E+03   -0.35365E-03   -0.16309E-04  5698   0.286E-02    0.246E-02
DAV:  22    -0.295963229056E+03   -0.32139E-03   -0.97226E-05  6138   0.250E-02    0.141E-02
DAV:  23    -0.295963283966E+03   -0.54910E-04   -0.23964E-05  5929   0.180E-02    0.104E-02
DAV:  24    -0.295963327163E+03   -0.43197E-04   -0.97777E-06  5654   0.104E-02    0.668E-03
DAV:  25    -0.295963433698E+03   -0.10654E-03   -0.18688E-05  5115   0.112E-02    0.541E-03
DAV:  26    -0.295963505112E+03   -0.71414E-04   -0.16227E-05  5269   0.113E-02    0.582E-03
DAV:  27    -0.295963545762E+03   -0.40650E-04   -0.74885E-06  5610   0.792E-03    0.510E-03
DAV:  28    -0.295963592422E+03   -0.46660E-04   -0.42709E-06  4499   0.430E-03    0.231E-03
DAV:  29    -0.295963612251E+03   -0.19829E-04   -0.25259E-06  4576   0.266E-03    0.100E-03
DAV:  30    -0.295963616300E+03   -0.40494E-05   -0.51704E-07  3740   0.144E-03    0.834E-04
DAV:  31    -0.295963619602E+03   -0.33020E-05   -0.24638E-07  3696   0.913E-04    0.723E-04
DAV:  32    -0.295963622086E+03   -0.24837E-05   -0.23655E-07  3674   0.675E-04    0.468E-04
DAV:  33    -0.295963622351E+03   -0.26467E-06   -0.56715E-08  3509   0.434E-04
   1 F= -.30859936E+03 E0= -.30859936E+03  d E =-.620794E-13
