cpu-bind=MASK - c160, task  0  0 [1573135]: mask 0x7ffefffefffe set
 running  264 mpi-ranks, with    1 threads/rank, on    6 nodes
 distrk:  each k-point on   44 cores,    6 groups
 distr:  one band on    4 cores,   11 groups
 vasp.6.5.1 10Mar25 (build Aug 29 2025 00:30:47) complex                        
  
 POSCAR found type information on POSCAR W SeGaN 
 POSCAR found :  4 types and      45 ions
 scaLAPACK will be used
 LDA part: xc-table for (Slater+PW92), standard interpolation
 POSCAR, INCAR and KPOINTS ok, starting setup
 FFT: planning ... GRIDC
 FFT: planning ... GRID_SOFT
 FFT: planning ... GRID
 WAVECAR not read
 entering main loop
       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1     0.271718078450E+04    0.27172E+04   -0.14806E+05  5687   0.138E+03
DAV:   2    -0.271844331423E+02   -0.27444E+04   -0.26574E+04  5951   0.323E+02
DAV:   3    -0.318376402505E+03   -0.29119E+03   -0.28756E+03  6105   0.102E+02
DAV:   4    -0.330295807013E+03   -0.11919E+02   -0.11821E+02  6281   0.210E+01
DAV:   5    -0.330704774555E+03   -0.40897E+00   -0.40751E+00  6611   0.355E+00    0.701E+01
DAV:   6    -0.297235581644E+03    0.33469E+02   -0.17714E+02  6105   0.261E+01    0.261E+01
DAV:   7    -0.297250010567E+03   -0.14429E-01   -0.39996E+01  5962   0.105E+01    0.139E+01
DAV:   8    -0.296185560537E+03    0.10645E+01   -0.66229E+00  6116   0.590E+00    0.410E+00
DAV:   9    -0.296069018444E+03    0.11654E+00   -0.52669E-01  6017   0.154E+00    0.144E+00
DAV:  10    -0.296031058801E+03    0.37960E-01   -0.19720E-01  6116   0.845E-01    0.842E-01
DAV:  11    -0.296000675236E+03    0.30384E-01   -0.25665E-02  6127   0.423E-01    0.295E-01
DAV:  12    -0.295983413956E+03    0.17261E-01   -0.98804E-03  6061   0.306E-01    0.186E-01
DAV:  13    -0.295971723368E+03    0.11691E-01   -0.65164E-03  6215   0.333E-01    0.193E-01
DAV:  14    -0.295952017228E+03    0.19706E-01   -0.12560E-02  5764   0.331E-01    0.186E-01
DAV:  15    -0.295942580816E+03    0.94364E-02   -0.12184E-02  5962   0.245E-01    0.127E-01
DAV:  16    -0.295943410005E+03   -0.82919E-03   -0.36806E-03  6259   0.188E-01    0.141E-01
DAV:  17    -0.295947462859E+03   -0.40529E-02   -0.10675E-03  5819   0.120E-01    0.102E-01
DAV:  18    -0.295953461543E+03   -0.59987E-02   -0.11976E-03  6061   0.828E-02    0.550E-02
DAV:  19    -0.295961750627E+03   -0.82891E-02   -0.20937E-03  6193   0.910E-02    0.513E-02
DAV:  20    -0.295963375607E+03   -0.16250E-02   -0.59193E-04  6292   0.450E-02    0.416E-02
DAV:  21    -0.295963951699E+03   -0.57609E-03   -0.21083E-04  5676   0.292E-02    0.132E-02
DAV:  22    -0.295964064782E+03   -0.11308E-03   -0.37255E-05  5874   0.198E-02    0.119E-02
DAV:  23    -0.295964098819E+03   -0.34037E-04   -0.20976E-05  5940   0.145E-02    0.815E-03
DAV:  24    -0.295964169709E+03   -0.70890E-04   -0.12398E-05  5093   0.114E-02    0.615E-03
DAV:  25    -0.295964273525E+03   -0.10382E-03   -0.26492E-05  5313   0.109E-02    0.622E-03
DAV:  26    -0.295964322212E+03   -0.48686E-04   -0.10741E-05  5610   0.885E-03    0.582E-03
DAV:  27    -0.295964368752E+03   -0.46540E-04   -0.46744E-06  4851   0.705E-03    0.344E-03
DAV:  28    -0.295964397279E+03   -0.28528E-04   -0.30962E-06  4741   0.365E-03    0.169E-03
DAV:  29    -0.295964409007E+03   -0.11728E-04   -0.13507E-06  4433   0.198E-03    0.107E-03
DAV:  30    -0.295964414333E+03   -0.53257E-05   -0.25083E-07  3707   0.953E-04    0.554E-04
DAV:  31    -0.295964418864E+03   -0.45311E-05   -0.48263E-07  3817   0.720E-04    0.349E-04
DAV:  32    -0.295964419719E+03   -0.85495E-06   -0.78963E-08  3674   0.421E-04
   1 F= -.30859965E+03 E0= -.30859965E+03  d E =-.751355E-13
