cpu-bind=MASK - c032, task  0  0 [2706368]: mask 0xfffffffffff0 set
 running  264 mpi-ranks, with    1 threads/rank, on    6 nodes
 distrk:  each k-point on   44 cores,    6 groups
 distr:  one band on    4 cores,   11 groups
 vasp.6.5.1 10Mar25 (build Aug 29 2025 00:30:47) complex                        
  
 POSCAR found type information on POSCAR MoSe
 POSCAR found :  2 types and      27 ions
 scaLAPACK will be used
 LDA part: xc-table for (Slater+PW92), standard interpolation
 POSCAR, INCAR and KPOINTS ok, starting setup
 FFT: planning ... GRIDC
 FFT: planning ... GRID_SOFT
 FFT: planning ... GRID
 WAVECAR not read
 entering main loop
       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1     0.199125182525E+04    0.19913E+04   -0.11308E+05  4598   0.130E+03
DAV:   2     0.126196150099E+02   -0.19786E+04   -0.19391E+04  5104   0.290E+02
DAV:   3    -0.182573261768E+03   -0.19519E+03   -0.19315E+03  4378   0.839E+01
DAV:   4    -0.189094104253E+03   -0.65208E+01   -0.64524E+01  4719   0.148E+01
DAV:   5    -0.189303689650E+03   -0.20959E+00   -0.20875E+00  5302   0.240E+00    0.513E+01
DAV:   6    -0.183541130822E+03    0.57626E+01   -0.67456E+01  4235   0.208E+01    0.158E+01
DAV:   7    -0.181682300843E+03    0.18588E+01   -0.39056E+01  4312   0.148E+01    0.138E+01
DAV:   8    -0.179945951442E+03    0.17363E+01   -0.56997E+00  4499   0.637E+00    0.344E+00
DAV:   9    -0.179932615725E+03    0.13336E-01   -0.88523E-01  4939   0.202E+00    0.202E+00
DAV:  10    -0.179891133618E+03    0.41482E-01   -0.13297E-01  4829   0.115E+00    0.617E-01
DAV:  11    -0.179879916759E+03    0.11217E-01   -0.30794E-02  4994   0.616E-01    0.282E-01
DAV:  12    -0.179866688023E+03    0.13229E-01   -0.82188E-03  4664   0.278E-01    0.151E-01
DAV:  13    -0.179860820373E+03    0.58676E-02   -0.46488E-03  4785   0.207E-01    0.162E-01
DAV:  14    -0.179856672409E+03    0.41480E-02   -0.31632E-03  4807   0.211E-01    0.151E-01
DAV:  15    -0.179851759098E+03    0.49133E-02   -0.31000E-03  4356   0.148E-01    0.715E-02
DAV:  16    -0.179844216766E+03    0.75423E-02   -0.45475E-03  4213   0.113E-01    0.111E-01
DAV:  17    -0.179841216880E+03    0.29999E-02   -0.92974E-04  4488   0.878E-02    0.870E-02
DAV:  18    -0.179841921009E+03   -0.70413E-03   -0.52076E-04  4741   0.928E-02    0.553E-02
DAV:  19    -0.179847768364E+03   -0.58474E-02   -0.15664E-03  4576   0.826E-02    0.889E-02
DAV:  20    -0.179852517093E+03   -0.47487E-02   -0.65432E-04  4433   0.553E-02    0.618E-02
DAV:  21    -0.179855701853E+03   -0.31848E-02   -0.50243E-04  4664   0.622E-02    0.354E-02
DAV:  22    -0.179857829291E+03   -0.21274E-02   -0.27185E-04  4488   0.404E-02    0.193E-02
DAV:  23    -0.179858663974E+03   -0.83468E-03   -0.53058E-05  4136   0.129E-02    0.154E-02
DAV:  24    -0.179859126009E+03   -0.46203E-03   -0.25185E-05  3872   0.113E-02    0.819E-03
DAV:  25    -0.179859260793E+03   -0.13478E-03   -0.54088E-06  3861   0.837E-03    0.479E-03
DAV:  26    -0.179859400850E+03   -0.14006E-03   -0.59298E-06  3487   0.440E-03    0.187E-03
DAV:  27    -0.179859440885E+03   -0.40035E-04   -0.13154E-06  3267   0.156E-03    0.946E-04
DAV:  28    -0.179859457099E+03   -0.16214E-04   -0.46503E-07  3003   0.901E-04    0.517E-04
DAV:  29    -0.179859460556E+03   -0.34573E-05   -0.59195E-08  2640   0.613E-04    0.408E-04
DAV:  30    -0.179859463244E+03   -0.26876E-05   -0.83506E-08  2618   0.446E-04    0.206E-04
DAV:  31    -0.179859464393E+03   -0.11486E-05   -0.38311E-08  2563   0.192E-04    0.834E-05
DAV:  32    -0.179859464596E+03   -0.20379E-06   -0.79800E-09  2310   0.974E-05
   1 F= -.18904491E+03 E0= -.18904491E+03  d E =-.580509E-28
