cpu-bind=MASK - c160, task  0  0 [1607001]: mask 0x7ffefffefffe set
 running  264 mpi-ranks, with    1 threads/rank, on    6 nodes
 distrk:  each k-point on   44 cores,    6 groups
 distr:  one band on    4 cores,   11 groups
 vasp.6.5.1 10Mar25 (build Aug 29 2025 00:30:47) complex                        
  
 POSCAR found type information on POSCAR MoSe
 POSCAR found :  2 types and      27 ions
 scaLAPACK will be used
 LDA part: xc-table for (Slater+PW92), standard interpolation
 POSCAR, INCAR and KPOINTS ok, starting setup
 FFT: planning ... GRIDC
 FFT: planning ... GRID_SOFT
 FFT: planning ... GRID
 WAVECAR not read
 entering main loop
       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1     0.199085966491E+04    0.19909E+04   -0.11308E+05  4598   0.130E+03
DAV:   2     0.127884376970E+02   -0.19781E+04   -0.19388E+04  5082   0.290E+02
DAV:   3    -0.182551824526E+03   -0.19534E+03   -0.19329E+03  4378   0.839E+01
DAV:   4    -0.189106363574E+03   -0.65545E+01   -0.64850E+01  4697   0.149E+01
DAV:   5    -0.189315051301E+03   -0.20869E+00   -0.20781E+00  5291   0.239E+00    0.512E+01
DAV:   6    -0.183555968276E+03    0.57591E+01   -0.67555E+01  4224   0.209E+01    0.158E+01
DAV:   7    -0.181688651549E+03    0.18673E+01   -0.39202E+01  4334   0.148E+01    0.137E+01
DAV:   8    -0.179948617534E+03    0.17400E+01   -0.57076E+00  4521   0.637E+00    0.344E+00
DAV:   9    -0.179935277980E+03    0.13340E-01   -0.89191E-01  4939   0.204E+00    0.202E+00
DAV:  10    -0.179894483525E+03    0.40794E-01   -0.13368E-01  4818   0.116E+00    0.668E-01
DAV:  11    -0.179882622691E+03    0.11861E-01   -0.34662E-02  4950   0.646E-01    0.288E-01
DAV:  12    -0.179869390438E+03    0.13232E-01   -0.88139E-03  4598   0.291E-01    0.164E-01
DAV:  13    -0.179864392417E+03    0.49980E-02   -0.43371E-03  4796   0.236E-01    0.160E-01
DAV:  14    -0.179859328491E+03    0.50639E-02   -0.34442E-03  4741   0.206E-01    0.135E-01
DAV:  15    -0.179853851505E+03    0.54770E-02   -0.33541E-03  4312   0.129E-01    0.735E-02
DAV:  16    -0.179846653434E+03    0.71981E-02   -0.44381E-03  4268   0.114E-01    0.114E-01
DAV:  17    -0.179843458673E+03    0.31948E-02   -0.10546E-03  4444   0.984E-02    0.884E-02
DAV:  18    -0.179843930081E+03   -0.47141E-03   -0.50797E-04  4719   0.911E-02    0.518E-02
DAV:  19    -0.179850203256E+03   -0.62732E-02   -0.15484E-03  4510   0.733E-02    0.807E-02
DAV:  20    -0.179854584553E+03   -0.43813E-02   -0.54134E-04  4488   0.476E-02    0.560E-02
DAV:  21    -0.179857891509E+03   -0.33070E-02   -0.48872E-04  4631   0.616E-02    0.374E-02
DAV:  22    -0.179859985613E+03   -0.20941E-02   -0.27623E-04  4488   0.424E-02    0.161E-02
DAV:  23    -0.179860825047E+03   -0.83943E-03   -0.51543E-05  4092   0.125E-02    0.119E-02
DAV:  24    -0.179861259447E+03   -0.43440E-03   -0.22210E-05  3817   0.104E-02    0.820E-03
DAV:  25    -0.179861396823E+03   -0.13738E-03   -0.51142E-06  3784   0.818E-03    0.567E-03
DAV:  26    -0.179861546974E+03   -0.15015E-03   -0.70851E-06  3509   0.504E-03    0.218E-03
DAV:  27    -0.179861589587E+03   -0.42613E-04   -0.15118E-06  3256   0.166E-03    0.890E-04
DAV:  28    -0.179861603365E+03   -0.13778E-04   -0.33832E-07  3036   0.762E-04    0.480E-04
DAV:  29    -0.179861609261E+03   -0.58962E-05   -0.13561E-07  2739   0.552E-04    0.275E-04
DAV:  30    -0.179861610736E+03   -0.14753E-05   -0.44106E-08  2475   0.397E-04    0.194E-04
DAV:  31    -0.179861611987E+03   -0.12503E-05   -0.43938E-08  2596   0.223E-04    0.127E-04
DAV:  32    -0.179861612222E+03   -0.23555E-06   -0.10421E-08  2288   0.108E-04
   1 F= -.18904503E+03 E0= -.18904503E+03  d E =-.255410E-27
