cpu-bind=MASK - c211, task  0  0 [3056053]: mask 0x7ffefffefffe set
 running  264 mpi-ranks, with    1 threads/rank, on    6 nodes
 distrk:  each k-point on   44 cores,    6 groups
 distr:  one band on    4 cores,   11 groups
 vasp.6.5.1 10Mar25 (build Aug 29 2025 00:30:47) complex                        
  
 POSCAR found type information on POSCAR NbSe
 POSCAR found :  2 types and      27 ions
 scaLAPACK will be used
 LDA part: xc-table for (Slater+PW92), standard interpolation
 POSCAR, INCAR and KPOINTS ok, starting setup
 FFT: planning ... GRIDC
 FFT: planning ... GRID_SOFT
 FFT: planning ... GRID
 WAVECAR not read
 entering main loop
       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1     0.199365876955E+04    0.19937E+04   -0.99454E+04  4587   0.125E+03
DAV:   2     0.928801796740E+02   -0.19008E+04   -0.18483E+04  5258   0.352E+02
DAV:   3    -0.166497285533E+03   -0.25938E+03   -0.25676E+03  5005   0.121E+02
DAV:   4    -0.187994513651E+03   -0.21497E+02   -0.21346E+02  6897   0.399E+01
DAV:   5    -0.189055843244E+03   -0.10613E+01   -0.10585E+01  5808   0.538E+00    0.263E+01
DAV:   6    -0.180073512040E+03    0.89823E+01   -0.54662E+01  5720   0.212E+01    0.131E+01
DAV:   7    -0.178387547578E+03    0.16860E+01   -0.13901E+01  5533   0.995E+00    0.633E+00
DAV:   8    -0.178128799565E+03    0.25875E+00   -0.19117E+00  6160   0.395E+00    0.229E+00
DAV:   9    -0.178121758856E+03    0.70407E-02   -0.36278E-01  5764   0.174E+00    0.136E+00
DAV:  10    -0.178108938155E+03    0.12821E-01   -0.33524E-01  5544   0.178E+00    0.110E+00
DAV:  11    -0.178065580195E+03    0.43358E-01   -0.11207E-01  5907   0.105E+00    0.212E-01
DAV:  12    -0.178060033310E+03    0.55469E-02   -0.11121E-02  5764   0.337E-01    0.151E-01
DAV:  13    -0.178056167466E+03    0.38658E-02   -0.53122E-03  5599   0.269E-01    0.155E-01
DAV:  14    -0.178049466158E+03    0.67013E-02   -0.61494E-03  4741   0.247E-01    0.110E-01
DAV:  15    -0.178044682277E+03    0.47839E-02   -0.38211E-03  4576   0.176E-01    0.962E-02
DAV:  16    -0.178042311235E+03    0.23710E-02   -0.10732E-03  4653   0.143E-01    0.813E-02
DAV:  17    -0.178034629900E+03    0.76813E-02   -0.36299E-03  4290   0.116E-01    0.580E-02
DAV:  18    -0.178033713996E+03    0.91590E-03   -0.11370E-03  5555   0.112E-01    0.799E-02
DAV:  19    -0.178034640081E+03   -0.92608E-03   -0.66615E-04  5423   0.959E-02    0.625E-02
DAV:  20    -0.178041892586E+03   -0.72525E-02   -0.15431E-03  4444   0.856E-02    0.411E-02
DAV:  21    -0.178045576142E+03   -0.36836E-02   -0.45190E-04  5511   0.446E-02    0.403E-02
DAV:  22    -0.178048070154E+03   -0.24940E-02   -0.20723E-04  4708   0.453E-02    0.290E-02
DAV:  23    -0.178050587439E+03   -0.25173E-02   -0.31686E-04  4609   0.465E-02    0.195E-02
DAV:  24    -0.178051227943E+03   -0.64050E-03   -0.87997E-05  5324   0.310E-02    0.135E-02
DAV:  25    -0.178051571921E+03   -0.34398E-03   -0.18686E-05  4114   0.150E-02    0.862E-03
DAV:  26    -0.178052040404E+03   -0.46848E-03   -0.33458E-05  3872   0.938E-03    0.359E-03
DAV:  27    -0.178052117382E+03   -0.76977E-04   -0.40298E-06  4092   0.496E-03    0.362E-03
DAV:  28    -0.178052128060E+03   -0.10679E-04   -0.26955E-07  2970   0.229E-03    0.232E-03
DAV:  29    -0.178052149742E+03   -0.21681E-04   -0.52756E-07  3080   0.257E-03    0.125E-03
DAV:  30    -0.178052172483E+03   -0.22741E-04   -0.10204E-06  3366   0.219E-03    0.628E-04
DAV:  31    -0.178052175546E+03   -0.30634E-05   -0.88906E-08  3058   0.115E-03    0.437E-04
DAV:  32    -0.178052177987E+03   -0.24406E-05   -0.75290E-08  2728   0.808E-04    0.241E-04
DAV:  33    -0.178052179512E+03   -0.15250E-05   -0.60885E-08  2981   0.690E-04    0.185E-04
DAV:  34    -0.178052179975E+03   -0.46309E-06   -0.33505E-08  2530   0.602E-04
   1 F= -.18717042E+03 E0= -.18715017E+03  d E =-.405076E-01
