cpu-bind=MASK - c002, task  0  0 [1234503]: mask 0xfffffffffff0 set
 running  264 mpi-ranks, with    1 threads/rank, on    6 nodes
 distrk:  each k-point on   44 cores,    6 groups
 distr:  one band on    4 cores,   11 groups
 vasp.6.5.1 10Mar25 (build Aug 29 2025 00:30:47) complex                        
  
 POSCAR found type information on POSCAR W Te
 POSCAR found :  2 types and      27 ions
 scaLAPACK will be used
 LDA part: xc-table for (Slater+PW92), standard interpolation
 POSCAR, INCAR and KPOINTS ok, starting setup
 FFT: planning ... GRIDC
 FFT: planning ... GRID_SOFT
 FFT: planning ... GRID
 WAVECAR not read
 entering main loop
       N       E                     dE             d eps       ncg     rms          rms(c)
DAV:   1     0.189981514807E+04    0.18998E+04   -0.11062E+05  4576   0.129E+03
DAV:   2    -0.316779118149E+01   -0.19030E+04   -0.18637E+04  4752   0.287E+02
DAV:   3    -0.172718295567E+03   -0.16955E+03   -0.16738E+03  4565   0.803E+01
DAV:   4    -0.181081879995E+03   -0.83636E+01   -0.82762E+01  5148   0.171E+01
DAV:   5    -0.181345298658E+03   -0.26342E+00   -0.26200E+00  5797   0.335E+00    0.551E+01
DAV:   6    -0.176720341225E+03    0.46250E+01   -0.29228E+01  4730   0.140E+01    0.244E+01
DAV:   7    -0.175856906516E+03    0.86343E+00   -0.16530E+01  4367   0.810E+00    0.115E+01
DAV:   8    -0.174994154470E+03    0.86275E+00   -0.24790E+00  4609   0.401E+00    0.423E+00
DAV:   9    -0.174944088937E+03    0.50066E-01   -0.95718E-01  4774   0.214E+00    0.209E+00
DAV:  10    -0.174903535980E+03    0.40553E-01   -0.16907E-01  4708   0.115E+00    0.517E-01
DAV:  11    -0.174893063703E+03    0.10472E-01   -0.19297E-02  4763   0.509E-01    0.382E-01
DAV:  12    -0.174890130490E+03    0.29332E-02   -0.43050E-03  4873   0.275E-01    0.359E-01
DAV:  13    -0.174885988797E+03    0.41417E-02   -0.29493E-03  4741   0.127E-01    0.217E-01
DAV:  14    -0.174876418265E+03    0.95705E-02   -0.73357E-03  4323   0.178E-01    0.192E-01
DAV:  15    -0.174873241310E+03    0.31770E-02   -0.25194E-03  4642   0.171E-01    0.281E-01
DAV:  16    -0.174872085475E+03    0.11558E-02   -0.87691E-04  4653   0.120E-01    0.261E-01
DAV:  17    -0.174865752167E+03    0.63333E-02   -0.42499E-03  4202   0.105E-01    0.739E-02
DAV:  18    -0.174866426228E+03   -0.67406E-03   -0.96336E-04  4741   0.742E-02    0.119E-01
DAV:  19    -0.174870997816E+03   -0.45716E-02   -0.57738E-04  4323   0.824E-02    0.142E-01
DAV:  20    -0.174877358666E+03   -0.63608E-02   -0.10299E-03  4378   0.765E-02    0.112E-01
DAV:  21    -0.174880839610E+03   -0.34809E-02   -0.70913E-04  4587   0.530E-02    0.383E-02
DAV:  22    -0.174881866568E+03   -0.10270E-02   -0.76769E-05  4092   0.189E-02    0.272E-02
DAV:  23    -0.174883317799E+03   -0.14512E-02   -0.17989E-04  3949   0.208E-02    0.206E-02
DAV:  24    -0.174883569219E+03   -0.25142E-03   -0.20704E-05  4015   0.145E-02    0.151E-02
DAV:  25    -0.174883710606E+03   -0.14139E-03   -0.65117E-06  3597   0.707E-03    0.705E-03
DAV:  26    -0.174883833971E+03   -0.12337E-03   -0.87428E-06  3718   0.381E-03    0.281E-03
DAV:  27    -0.174883883569E+03   -0.49598E-04   -0.36975E-06  3289   0.279E-03    0.185E-03
DAV:  28    -0.174883887338E+03   -0.37683E-05   -0.12854E-07  2651   0.110E-03    0.136E-03
DAV:  29    -0.174883893077E+03   -0.57390E-05   -0.18361E-07  2728   0.685E-04    0.552E-04
DAV:  30    -0.174883900792E+03   -0.77154E-05   -0.53374E-07  3025   0.652E-04    0.229E-04
DAV:  31    -0.174883902127E+03   -0.13347E-05   -0.55455E-08  2607   0.300E-04    0.242E-04
DAV:  32    -0.174883902245E+03   -0.11835E-06   -0.15571E-08  2255   0.187E-04
   1 F= -.18513275E+03 E0= -.18513275E+03  d E =-.103818E-28
