material,kind,a_template,a_source,a_dft,da_pct,gap_template,gap_dft,dgap_A,dz_template,dMX_template,c_dft
MoS2,monolayer,3.1922379121304525,params-cache,3.1922379121304525,0.0,0.0,0.0,0.0,,1.564136621304,20.0
MoS2_MoSe2_2H,bilayer,3.2379104560652263,"mean(params-cache,override)",3.214722,0.7213207258738465,2.9770000000000003,2.963628635898022,0.013371364101978145,2.9770000000000003,1.6203313106519999,20.0
MoS2_MoSe2_3R,bilayer,3.2379104560652263,"mean(params-cache,override)",3.2379102602034626,6.04901766747119e-06,2.9770000000000003,2.913931110149587,0.06306888985041326,2.9770000000000003,1.6203313106519999,20.0
MoS2_MoTe2_2H,bilayer,3.31816,bilayer_lattice_override,3.31816,0.0,3.073000000000002,3.041163789460848,0.03183621053915431,3.0730000000000004,1.691391310652,20.0
MoS2_MoTe2_3R,bilayer,3.320991,bilayer_lattice_override,3.320991,0.0,3.073000000000002,2.991853287473454,0.08114671252654837,3.0730000000000004,1.691391310652,20.0
MoS2_WS2_2H,bilayer,3.188230403426758,"mean(params-cache,params-cache)",3.188230403426758,0.0,2.9250000000000007,2.9417485377022548,-0.01674853770225404,2.925,1.5620342687011606,20.0
MoS2_WS2_3R,bilayer,3.156831,bilayer_lattice_override,3.156831,0.0,2.9250000000000007,2.903772879931749,0.021227120068251892,2.925,1.5620342687011606,20.40094328185007
MoS2_WSe2_2H,bilayer,3.218258,bilayer_lattice_override,3.218258,0.0,2.985000000000001,2.975127162594637,0.009872837405364265,2.9850000000000003,1.6131735684909834,20.474526247718096
MoS2_WSe2_3R,bilayer,3.220609,bilayer_lattice_override,3.220609,0.0,2.985000000000001,2.929685411013695,0.055314588986306035,2.9850000000000003,1.6131735684909834,20.44228565050768
MoS2_WTe2_2H,bilayer,3.322822,bilayer_lattice_override,3.322822,0.0,3.0820000000000007,3.0230059533110083,0.05899404668899244,3.082,1.694895310652,20.0
MoS2_WTe2_3R,bilayer,3.326742,bilayer_lattice_override,3.326742,0.0,3.0820000000000007,2.9867041394165916,0.09529586058340911,3.082,1.694895310652,20.0
MoS2_bilayer_2H,bilayer,3.1922379121304525,"mean(params-cache,params-cache)",3.1922379121304525,0.0,2.918000000000001,2.937673544219347,-0.019673544219346084,2.918,1.564136621304,20.0
MoS2_bilayer_3R,bilayer,3.153986,bilayer_lattice_override,3.153986,0.0,2.918000000000001,2.898668530333209,0.01933146966679189,2.918,1.564136621304,20.48730759476355
MoSe2,monolayer,3.283583,override,3.2835826082764727,1.192976008600412e-05,0.0,0.0,0.0,,1.676526,20.473938106641583
MoSe2_MoTe2_2H,bilayer,3.3932710000000004,"mean(override,override)",3.388597,0.13793319181952032,3.1320000000000014,3.112008622512308,0.01999137748769364,3.132,1.747586,20.0
MoSe2_MoTe2_3R,bilayer,3.3932710000000004,"mean(override,override)",3.3932708898819186,3.245189828273064e-06,3.1320000000000014,3.092175552925859,0.039824447074142455,3.132,1.747586,20.0
MoSe2_WS2_2H,bilayer,3.233902947361532,"mean(override,params-cache)",3.2339027514997682,6.056513715687219e-06,2.984,2.9917421651227656,-0.0077421651227655985,2.984,1.6182289580491607,20.0
MoSe2_WS2_3R,bilayer,3.233902947361532,"mean(override,params-cache)",3.2339027514997682,6.056513715687219e-06,2.984,2.9916554566298323,-0.007655456629832358,2.984,1.6182289580491607,20.0
MoSe2_WSe2_2H,bilayer,3.284163,bilayer_lattice_override,3.2841629999999995,1.3522142775802013e-14,3.0440000000000005,3.0273799161758603,0.016620083824140153,3.044,1.6693682578389835,20.220281945299508
MoSe2_WSe2_3R,bilayer,3.287164,bilayer_lattice_override,3.287164,0.0,3.0440000000000005,3.0325533111640635,0.011446688835937024,3.044,1.6693682578389835,20.1776881949769
MoSe2_WTe2_2H,bilayer,3.396699,"mean(override,override)",3.3966990027809927,-8.187339434920059e-08,3.141,3.109288949928162,0.03171105007183783,3.141,1.75109,20.0
MoSe2_WTe2_3R,bilayer,3.396699,"mean(override,override)",3.3966990027809927,-8.187339434920059e-08,3.141,3.0842369489525243,0.0567630510474757,3.141,1.75109,20.0
MoSe2_bilayer_2H,bilayer,3.283583,"mean(override,override)",3.2835826082764727,1.192976008600412e-05,3.0359999999999996,3.0432085156636255,-0.007208515663625903,3.036,1.676526,20.0
MoSe2_bilayer_3R,bilayer,3.283583,"mean(override,override)",3.2835826082764727,1.192976008600412e-05,3.0359999999999996,3.029519225563332,0.006480774436667502,3.036,1.676526,20.0
MoTe2,monolayer,3.502959,override,3.502959171487364,-4.895499932188131e-06,0.0,0.0,0.0,,1.818646,20.722320079686888
MoTe2_WS2_2H,bilayer,3.31008,bilayer_lattice_override,3.31008,0.0,3.08,3.093749943072371,-0.013749943072371096,3.08,1.6892889580491608,20.0
MoTe2_WS2_3R,bilayer,3.314087,bilayer_lattice_override,3.314087,0.0,3.08,3.1551425196807,-0.07514251968069985,3.08,1.6892889580491608,20.0
MoTe2_WSe2_2H,bilayer,3.4114459609005072,"mean(override,params-cache)",3.411446046644189,-2.5134116371770342e-06,3.1400000000000006,3.131623380948902,0.008376619051098544,3.14,1.7404282578389836,20.0
MoTe2_WSe2_3R,bilayer,3.4114459609005072,"mean(override,params-cache)",3.411446046644189,-2.5134116371770342e-06,3.1400000000000006,3.1604643294773993,-0.020464329477398735,3.14,1.7404282578389836,20.0
MoTe2_WTe2_2H,bilayer,3.506387,"mean(override,override)",3.506387284386438,-8.1105255891326e-06,3.2369999999999983,3.2193442211756285,0.01765577882436986,3.237,1.8221500000000002,20.0
MoTe2_WTe2_3R,bilayer,3.506387,"mean(override,override)",3.506387284386438,-8.1105255891326e-06,3.2369999999999983,3.2371700608340284,-0.00017006083403003913,3.237,1.8221500000000002,20.0
MoTe2_bilayer_2H,bilayer,3.502959,"mean(override,override)",3.502959171487364,-4.895499932188131e-06,3.2279999999999998,3.2156291583136465,0.012370841686353273,3.228,1.818646,20.0
MoTe2_bilayer_3R,bilayer,3.502959,"mean(override,override)",3.502959171487364,-4.895499932188131e-06,3.2279999999999998,3.2393552184868533,-0.011355218486853502,3.228,1.818646,20.0
WS2,monolayer,3.1842228947230637,params-cache,3.1842228947230637,0.0,0.0,0.0,0.0,,1.5599319160983214,20.0
WS2_WSe2_2H,bilayer,3.252077908262039,"mean(params-cache,params-cache)",3.252077908262039,0.0,2.9919999999999973,3.011648159157616,-0.01964815915761875,2.992,1.6110712158881442,20.0
WS2_WSe2_3R,bilayer,3.252077908262039,"mean(params-cache,params-cache)",3.252077908262039,0.0,2.9919999999999973,2.9428452955552853,0.04915470444471204,2.992,1.6110712158881442,20.0
WS2_WTe2_2H,bilayer,3.315514,bilayer_lattice_override,3.315514,0.0,3.0889999999999986,3.0745028027118604,0.014497197288138253,3.089,1.6927929580491607,20.0
WS2_WTe2_3R,bilayer,3.321224,bilayer_lattice_override,3.321224,0.0,3.0889999999999986,3.0266348662382647,0.062365133761733915,3.089,1.6927929580491607,20.0
WS2_bilayer_2H,bilayer,3.1842228947230637,"mean(params-cache,params-cache)",3.1842228947230637,0.0,2.9320000000000004,2.94261043641081,-0.010610436410809498,2.932,1.5599319160983214,20.0
WS2_bilayer_3R,bilayer,3.1842228947230637,"mean(params-cache,params-cache)",3.1842228947230637,0.0,2.9320000000000004,2.921740759167591,0.010259240832409589,2.932,1.5599319160983214,20.0
WSe2,monolayer,3.3199329218010143,params-cache,3.3199329218010143,0.0,0.0,0.0,0.0,,1.662210515677967,20.0
WSe2_WTe2_2H,bilayer,3.414873960900507,"mean(params-cache,override)",3.4148741595432632,-5.816986124269105e-06,3.148999999999999,3.1494469533472813,-0.0004469533472821752,3.149,1.7439322578389835,20.0
WSe2_WTe2_3R,bilayer,3.414873960900507,"mean(params-cache,override)",3.4148741595432632,-5.816986124269105e-06,3.148999999999999,3.108905572594546,0.040094427405453104,3.149,1.7439322578389835,20.0
WSe2_bilayer_2H,bilayer,3.285609,bilayer_lattice_override,3.2856090000000004,-1.3516191666447912e-14,3.0519999999999996,3.053839284396153,-0.001839284396153218,3.052,1.662210515677967,20.421223904214852
WSe2_bilayer_3R,bilayer,3.287329,bilayer_lattice_override,3.287329,0.0,3.0519999999999996,3.0493775419669262,0.0026224580330733716,3.052,1.662210515677967,20.396278062809888
WTe2,monolayer,3.509815,override,3.5098153972855126,-1.1319270888010666e-05,0.0,0.0,0.0,,1.825654,20.593905703554416
WTe2_bilayer_2H,bilayer,3.509815,"mean(override,override)",3.5098153972855126,-1.1319270888010666e-05,3.2460000000000004,3.2290138664128385,0.016986133587161945,3.246,1.825654,20.0
WTe2_bilayer_3R,bilayer,3.509815,"mean(override,override)",3.5098153972855126,-1.1319270888010666e-05,3.2460000000000004,3.263100890144859,-0.017100890144858383,3.246,1.825654,20.0
