name,family,seed_stacking,m,n,N_cells_per_layer,n_atoms,theta_deg,a_layer_A,gap_A,a_moire_A,phonopy_k_recommended,phonopy_supercell_atoms,min_pair_distance_A
MoS2_twist_m1_near0,near0,3R,1,2,7,42,21.78678929826181,3.1922379121304525,2.898668530333209,8.445867641249235,3,378,2.4172955272339514
MoS2_twist_m2_near0,near0,3R,2,3,19,114,13.173551107258918,3.1922379121304525,2.898668530333209,13.914642462715914,2,456,2.417295527233949
MoS2_twist_m3_near0,near0,3R,3,4,37,222,9.430007907896421,3.1922379121304525,2.898668530333209,19.41762515970454,2,888,2.417295527233947
MoS2_twist_m4_near0,near0,3R,4,5,61,366,7.340993016630217,3.1922379121304525,2.898668530333209,24.932175118633804,1,366,2.417295527233945
MoS2_twist_m5_near0,near0,3R,5,6,91,546,6.008983197766148,3.1922379121304525,2.898668530333209,30.452008846306217,1,546,2.4172955272339336
MoS2_twist_m1_near60,near60,2H,1,2,7,42,21.78678929826181,3.1922379121304525,2.937673544219347,8.445867641249235,3,378,2.4172955272339514
MoS2_twist_m2_near60,near60,2H,2,3,19,114,13.173551107258918,3.1922379121304525,2.937673544219347,13.914642462715914,2,456,2.4172955272339487
MoS2_twist_m3_near60,near60,2H,3,4,37,222,9.430007907896421,3.1922379121304525,2.937673544219347,19.41762515970454,2,888,2.417295527233946
MoS2_twist_m4_near60,near60,2H,4,5,61,366,7.340993016630217,3.1922379121304525,2.937673544219347,24.932175118633804,1,366,2.4172955272339407
MoS2_twist_m5_near60,near60,2H,5,6,91,546,6.008983197766148,3.1922379121304525,2.937673544219347,30.452008846306217,1,546,2.4172955272339403
